player,batter_matches_played,runs_scored,dismissals,balls_faced,0s_scored,1s_scored,2s_scored,4s_scored,6s_scored,high_score,25_scored,50_scored,75_scored,100_scored,strike_rate_x,batting_average,notout,explosivity_rating,0_wickets_taken,1_wickets_taken,2_wickets_taken,3_wickets_taken,4_wickets_taken,5_wickets_taken,6_wickets_taken,bowler_matches_played,runs_conceded,extras_runs_conceded,wickets_taken,balls_bowled,4s_conceded,6s_conceded,0s_conceded,1s_conceded,2s_conceded,highest_conceded,strike_rate_y,bowling_average,economy,total_runs_conceded
Y Gnaneswara Rao,1.0,19.0,1.0,17.0,9.0,5.0,1.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,111.76470588235294,19.0,0.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,6.0,1.0,0.0,3.0,1.0,1.0,7.0,inf,inf,7.0,7.0
Y Nagar,20.0,285.0,15.0,259.0,113.0,109.0,18.0,20.0,9.0,44.0,2.0,0.0,0.0,0.0,110.03861003861005,19.0,5.0,0.11,5.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,117.0,8.0,4.0,70.0,11.0,6.0,20.0,33.0,2.0,28.0,17.5,29.25,10.028571428571428,125.0
Y Prithvi Raj,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,54.0,3.0,1.0,30.0,6.0,2.0,11.0,11.0,2.0,27.0,30.0,54.0,10.8,57.0
Y Venugopal Rao,52.0,985.0,42.0,836.0,355.0,341.0,53.0,77.0,37.0,71.0,14.0,3.0,0.0,0.0,117.82296650717703,23.452380952380953,10.0,0.14,15.0,3.0,2.0,0.0,0.0,0.0,0.0,20.0,329.0,9.0,7.0,216.0,30.0,13.0,66.0,96.0,16.0,34.0,30.857142857142858,47.0,9.13888888888889,338.0
YA Abdulla,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,8.0,240.0,14.0,15.0,180.0,26.0,10.0,91.0,48.0,14.0,43.0,12.0,16.0,8.0,254.0
YBK Jaiswal,23.0,547.0,23.0,406.0,177.0,133.0,14.0,62.0,22.0,68.0,6.0,3.0,0.0,0.0,134.72906403940888,23.782608695652176,0.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,inf,inf,36.0,6.0
YK Pathan,149.0,3143.0,108.0,2195.0,848.0,864.0,153.0,257.0,154.0,100.0,31.0,14.0,0.0,1.0,143.18906605922552,29.10185185185185,41.0,0.19,49.0,18.0,9.0,3.0,0.0,0.0,0.0,79.0,1323.0,70.0,45.0,1105.0,96.0,55.0,442.0,491.0,53.0,44.0,24.555555555555557,29.4,7.183710407239818,1393.0
YS Chahal,17.0,37.0,6.0,86.0,57.0,28.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,43.02325581395349,6.166666666666667,11.0,0.0,28.0,52.0,32.0,13.0,2.0,1.0,0.0,128.0,3465.0,175.0,168.0,2834.0,202.0,176.0,1120.0,1233.0,169.0,51.0,16.86904761904762,20.625,7.335920959774171,3640.0
YV Takawale,10.0,192.0,8.0,178.0,100.0,41.0,12.0,26.0,3.0,45.0,3.0,0.0,0.0,0.0,107.86516853932584,24.0,2.0,0.16,,,,,,,,,,,,,,,,,,,,,,
Yash Dayal,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,9.0,283.0,13.0,13.0,195.0,31.0,12.0,87.0,63.0,12.0,43.0,15.0,21.76923076923077,8.707692307692307,296.0
Yashpal Singh,4.0,47.0,4.0,66.0,39.0,20.0,2.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,71.21212121212122,11.75,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,
Younis Khan,1.0,3.0,1.0,7.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,42.857142857142854,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Yuvraj Singh,121.0,2610.0,105.0,2030.0,938.0,707.0,113.0,207.0,140.0,83.0,28.0,12.0,1.0,0.0,128.57142857142858,24.857142857142858,16.0,0.17,50.0,12.0,5.0,3.0,2.0,0.0,0.0,72.0,1051.0,27.0,39.0,864.0,57.0,40.0,282.0,419.0,73.0,35.0,22.153846153846153,26.94871794871795,7.298611111111111,1078.0
