bowler,True Economy_death,True SR_death,dotpercentage_death,Containment_death,True Economy_middle,True SR_middle,dotpercentage_middle,Containment_middle,True Economy_powerplay,True SR_powerplay,dotpercentage_powerplay,Containment_powerplay
DJ Bravo,0.555039203,0.514888572,0.351693667,0.315873016,0.650244142,0.395866067,0.395675676,0.251805986,0.559587137,0.323627467,0.594690265,0.264775414
DJ Hooda,0.432548984,0.06419467,0.251162791,0.128571429,0.631985385,0.335267739,0.302608696,0.210526316,0.528804046,0.211165497,0.483333333,0.205673759
DJ Hussey,0.39750069,0.271974839,0.352941176,0.1875,0.617017242,0.38571617,0.330666667,0.21754386,0.450504604,0.229959365,0.308571429,0.106382979
DJ Muthuswami,0.794927536,0.561993048,1,0.5,0.635594524,0.601160644,0.8,0.140350877,0.537412904,0.324436646,0.608695652,0.24822695
DJ Willey,0.521666667,0.420625724,0.4,0.3,0.479965231,0.39224479,0.260869565,0.087719298,0.568806746,0.042746319,0.474074074,0.261865794
DJG Sammy,0.437404762,0.492468134,0.2,0.114285714,0.629369079,0.429283512,0.432298137,0.226120858,0.453027593,0.292944219,0.3,0.159574468
DL Chahar,0.582721294,0.504848448,0.34015748,0.4,0.69177186,0.299657083,0.344827586,0.23923445,0.554034708,0.283839767,0.574379345,0.246522095
DL Vettori,0.594876165,0.386919542,0.360736196,0.392,0.717497656,0.398249004,0.4265625,0.361469712,0.598584395,0.322066248,0.525842697,0.319148936
DNT Zoysa,0.593469591,0.454229432,0.423529412,0.3,0.539543835,0.493537325,0.3,0.063157895,0.517267943,0.202530477,0.5,0.227963526
DP Nannes,0.532955415,0.468417427,0.409756098,0.333333333,0.648947191,0.053315127,0.404347826,0.233082707,0.63996105,0.282636882,0.673170732,0.407801418
DP Vijaykumar,0.594409938,0.338740827,0.156521739,0.12,0.738458148,0.398575574,0.365217391,0.245614035,0.589784257,0.289557936,0.636,0.268490375
DR Sams,0.436187456,0.151216686,0.272727273,0.142857143,0.641567223,0.395656379,0.410526316,0.241486068,0.603956042,0.262129048,0.593258427,0.334346505
DR Smith,0.446456961,0.575525575,0.3,0.141666667,0.671372831,0.405871048,0.384848485,0.222807018,0.371306715,0.303079163,0.45,0.111008326
DS Kulkarni,0.567708358,0.483793394,0.366765579,0.302941176,0.634070216,0.44048334,0.4,0.199146515,0.556932432,0.283841316,0.594637537,0.252786221
DT Christian,0.488774697,0.422973493,0.306,0.226666667,0.652954023,0.383312904,0.408247423,0.304709141,0.502167869,0.290990594,0.539325843,0.218221495
DW Steyn,0.61135165,0.483290134,0.421935484,0.407476636,0.715545255,0.380312342,0.535012594,0.338755981,0.611946114,0.253612035,0.668571429,0.379331307
FH Edwards,0.573531551,0.274954478,0.357446809,0.254545455,0.646766894,0.457530994,0.6,0.210526316,0.674101282,0.268562985,0.789473684,0.591016548
Fazalhaq Farooqi,0.408265583,0.425260718,0.2,0.085714286,0.694861288,0.36672382,0.3,0.126315789,0.746132584,0.471739934,0.6,0.39893617
GB Hogg,0.64803653,0.483270118,0.48,0.553846154,0.649529241,0.410128834,0.378135048,0.264507422,0.63344693,0.374214998,0.652173913,0.332446809
GC Viljoen,0.498196496,0.397914253,0.32195122,0.1375,0.706082023,0.453291631,0.421052632,0.30075188,0.558578289,0.42026844,0.4,0.159574468
GD McGrath,0.555197093,0.240459014,0.268421053,0.226666667,0.680546884,0.437012473,0.45,0.189473684,0.717976662,0.282313344,0.708837209,0.422207447
GHS Garton,0.611111111,0.37030293,0.4,0.6,0.771390326,0.41915062,0.7,0.368421053,0.435026714,0.520502401,0.366101695,0.127659574
GJ Maxwell,0.556740177,0.277809965,0.229787234,0.36,0.632174302,0.382496823,0.368896926,0.229419703,0.549774684,0.262177424,0.469273743,0.201265095
GS Sandhu,0.478787879,0.304750869,0.2,0.114285714,0.563246954,0.52993933,0.141176471,0.070175439,0.53133746,0.370151459,0.6,0.159574468
Gagandeep Singh,0.394086022,0.367323291,0.25,0.1,0.608733054,0.384444361,0.38490566,0.198830409,0.392034509,0.313261914,0.6,0.159574468
HF Gurney,0.492893082,0.666280417,0.294339623,0.144444444,0.613374319,0.353581791,0.257142857,0.135338346,0.69024405,0.26287403,0.509090909,0.595744681
HH Pandya,0.496337568,0.528096726,0.394736842,0.245901639,0.64436097,0.40015827,0.395221843,0.233514822,0.522421533,0.238482242,0.505555556,0.186170213
HR Shokeen,0,0.568945539,0.4,0.08,0.583238299,0.208256397,0.496551724,0.315789474,0.522540535,0.263483561,0.75,0.265957447
HV Patel,0.545675811,0.502210011,0.403278689,0.33814433,0.672889827,0.40319435,0.427918782,0.261760596,0.521575303,0.280705418,0.46618705,0.182370821
