bowler,bowler_id,True Economy_death,True SR_death,dotpercentage_death,Containment_death,True Economy_middle,True SR_middle,dotpercentage_middle,Containment_middle,True Economy_powerplay,True SR_powerplay,dotpercentage_powerplay,Containment_powerplay
Harbhajan Singh,541,0.20869795810130043,0.8831168831168839,0.337037037037037,2.2195121951219514,0.6607669995669525,-0.9938612895357366,0.339186295503212,2.9774436090225564,0.05009786490161172,-1.386968085106382,0.49868766404199477,2.8358208955223883
Harmeet Singh,607,1.1583529411764708,-0.6680161943319831,0.368,2.4210526315789473,-0.9829210551744127,-0.13333333333333286,0.33860759493670883,2.276595744680851,-2.061712846347607,3.8500000000000014,0.5,2.0
Harpreet Brar,280,-4.909090909090908,17.0,0.2,0.3333333333333333,0.48845103571051496,-3.2361111111111107,0.3697478991596639,3.3846153846153846,-2.779641900465247,-19.375,0.34146341463414637,1.1666666666666667
I Sharma,563,-0.9637836626212817,-9.316455696202532,0.2647058823529412,1.0421052631578946,-1.6183292122681472,-6.461221122112214,0.31044776119402984,1.8245614035087718,0.3622345318856892,-1.4484848484848492,0.5207823960880196,2.730769230769231
I Udana,193,0.7948442534908704,-6.75,0.21052631578947367,1.5,-1.9560439560439562,0.22222222222222143,0.2833333333333333,1.5454545454545454,-4.78344128414531,-1.375,0.3018867924528302,0.8888888888888888
IC Pandey,340,-0.47934918648310365,-9.166666666666668,0.23529411764705882,0.8888888888888888,-0.3098978191245987,-8.256250000000001,0.33544303797468356,1.7096774193548387,-0.22126007097105393,-1.6217948717948723,0.583011583011583,2.849056603773585
IK Pathan,368,0.17998779239125184,0.17358822236871063,0.24733475479744135,1.303370786516854,-0.16001133144475865,5.378205128205128,0.3392,2.0784313725490198,0.4845061431894031,-6.09375,0.5639599555061179,2.755434782608696
IS Sodhi,402,6.342857142857144,8.0,0.5714285714285714,2.0,1.4074349442379175,1.5974025974025956,0.325,4.0,-1.9782608695652177,17.0,0.6666666666666666,2.6666666666666665
Imran Tahir,593,0.30718381998861943,-1.5887939221272553,0.27672955974842767,1.7254901960784315,-0.005872309287152433,7.729665071770338,0.3602150537634409,2.9130434782608696,0.32641591007349824,24.833333333333336,0.25925925925925924,1.0769230769230769
Iqbal Abdulla,503,-0.27319347319347287,-6.52910052910053,0.3333333333333333,1.8571428571428572,-0.42280573472958594,-2.2579384465070866,0.3132295719844358,2.4029850746268657,0.46454020383959005,9.770370370370372,0.4781021897810219,3.5405405405405403
J Botha,532,0.5450928381962861,0.2592592592592595,0.33653846153846156,2.3333333333333335,0.46043635882070433,-3.4945054945054963,0.36787564766839376,4.057142857142857,-0.9176326029080482,-23.023809523809526,0.4052631578947368,2.264705882352941
J Suchith,354,-3.6818181818181817,-1.0,0.3333333333333333,1.0,-0.6725924000032508,5.446428571428573,0.3143712574850299,1.9444444444444444,-0.2857142857142847,26.4,0.4305555555555556,2.066666666666667
J Syed Mohammad,336,-3.615384615384615,1.5,0.2777777777777778,1.25,-1.7924836601307188,9.675,0.20261437908496732,1.24,4.333333333333333,34.0,0.6111111111111112,5.5
J Theron,549,1.85576923076923,-1.8181818181818183,0.20833333333333334,1.4285714285714286,2.758499824745882,10.884615384615383,0.3888888888888889,4.2,-1.3957219251336905,41.0,0.421875,1.588235294117647
J Yadav,647,-1.8260869565217392,-2.8000000000000007,0.4166666666666667,1.6666666666666667,0.05574046766378782,-32.875,0.38613861386138615,4.875,-0.5932773109243703,-13.7,0.41333333333333333,2.48
JA Morkel,206,-0.18994565217391468,3.2948717948717956,0.2625,1.5272727272727273,0.6058689313435748,1.4818181818181841,0.35845213849287166,2.8852459016393444,-0.9489500860585203,-1.2857142857142847,0.44114285714285717,1.9014778325123152
JA Richardson,204,-1.6315789473684212,0.6666666666666661,0.16666666666666666,0.5,-1.902325581395349,10.8,0.26666666666666666,1.1428571428571428,-1.521358159912376,5.666666666666668,0.5454545454545454,2.0
JC Archer,380,2.0633043265106004,-2.5162790697674406,0.29573170731707316,1.5396825396825398,2.2649557473776225,19.833333333333332,0.46153846153846156,3.6666666666666665,3.361418545676149,14.848416289592762,0.6331360946745562,4.863636363636363
JD Ryder,467,-2.2714285714285722,-2.3181818181818183,0.24,0.75,-0.3104006163328208,-0.5888888888888886,0.35,2.8,-1.5999999999999996,24.0,0.5,1.5
JD Unadkat,527,-1.5172761618310524,1.6924019607843146,0.26094890510948904,1.0671641791044777,-0.5664431556955236,-4.927766032417196,0.2843601895734597,1.7307692307692308,0.09121240410764209,-4.353406593406596,0.43804034582132567,2.512396694214876
JDP Oram,236,1.616511127063891,2.3055555555555554,0.3,1.75,-2.329991645781119,-35.0,0.3148148148148148,1.7,-2.0094339622641506,-8.833333333333332,0.3867924528301887,1.64
JDS Neesham,523,-4.333333333333332,6.0,0.0,0.0,-0.9195531871285088,4.571428571428573,0.2804878048780488,1.7037037037037037,-2.896177062374244,-6.600000000000001,0.4857142857142857,1.4166666666666667
JE Taylor,139,-0.8288920056100988,15.583333333333332,0.34782608695652173,1.4545454545454546,-0.03455368161250494,6.833333333333332,0.5294117647058824,3.0,0.9523809523809526,15.0,0.4791666666666667,3.2857142857142856
JEC Franklin,64,-2.459999999999999,0.3333333333333339,0.2916666666666667,1.1666666666666667,-1.2164434755527882,3.1999999999999993,0.2631578947368421,1.5,-2.422187981510014,8.666666666666668,0.18181818181818182,1.0
JH Kallis,502,-0.7782955948950185,-0.2529411764705891,0.2542857142857143,1.0853658536585367,-0.09269041586519844,-9.523076923076925,0.33254437869822484,2.361344537815126,-0.21372059353824913,3.860000000000003,0.4547244094488189,2.5384615384615383
JJ Bumrah,299,1.7355712679748763,-1.0069105691056919,0.31536388140161725,1.9608938547486034,1.3406411556734517,8.89571150097466,0.39349112426035504,3.2839506172839505,1.185157992059608,-3.215151515151515,0.51431718061674,3.220689655172414
JJ van der Wath,41,-0.5806451612903221,4.5,0.2727272727272727,0.8571428571428571,-3.997566909975669,27.666666666666664,0.2777777777777778,0.625,-2.0864864864864856,44.0,0.6,2.25
JL Pattinson,74,0.6633366633366631,0.5166666666666675,0.358974358974359,1.75,-1.1007865374062558,11.871794871794872,0.28169014084507044,1.5384615384615385,-1.2568477772788498,0.6999999999999993,0.4215686274509804,1.8695652173913044
